ticker,quarter,sector,sub_sector,is_removal,lm_score,finbert_score,gpt_score_norm,gpt_score_intensity_wt,lm_uncertainty_score,market_cap
AAL,2023Q4,Removal,Airlines,True,0.18037974683544303,0.4786213011469079,0.46582278481012657,1.1265822784810127,0.06278874004756807,6801137152
AAL,2024Q1,Removal,Airlines,True,0.16914191419141913,0.4579165146437169,0.43564356435643564,1.0475247524752476,0.06600153512175075,6801137152
AAL,2024Q2,Removal,Airlines,True,0.11111111111111112,0.42578671044403954,0.19761904761904764,0.4904761904761905,0.06692393380041556,6801137152
AAPL,2023Q4,IT,Consumer Electronics,False,0.10833333333333332,0.3241352328914217,0.28500000000000003,0.72,0.07123339504589787,3656844050432
AAPL,2024Q1,IT,Consumer Electronics,False,0.09649122807017543,0.4496700712643041,0.3649122807017544,1.0140350877192983,0.06513343415615885,3656844050432
AAPL,2024Q2,IT,Consumer Electronics,False,0.08333333333333333,0.34764584229112816,0.2692307692307692,0.6807692307692308,0.06652983689101977,3656844050432
AAPL,2024Q3,IT,Consumer Electronics,False,0.04513888888888889,0.31539868798184517,0.22916666666666666,0.6791666666666667,0.061930740182661835,3656844050432
ABNB,2023Q4,IT,Travel Services,False,0.1642512077294686,0.39209400696436997,0.3884057971014493,0.910144927536232,0.0687996874497704,73662283776
ABNB,2024Q1,IT,Travel Services,False,0.14545454545454545,0.30532154195349326,0.28,0.7018181818181819,0.04507972809173946,73662283776
ABNB,2024Q2,IT,Travel Services,False,0.13272727272727272,0.258345252410932,0.2333333333333333,0.65,0.05185775230817895,73662283776
ABNB,2024Q3,IT,Travel Services,False,0.17592592592592593,0.3392290695926841,0.35802469135802467,0.8567901234567902,0.05370045080685024,73662283776
ACN,2023Q4,IT,Information Technology Services,False,0.19414893617021275,0.4096846480041425,0.3829787234042553,0.9510638297872341,0.06246317044972147,118532808704
ACN,2024Q1,IT,Information Technology Services,False,0.25968468468468464,0.4642486325465143,0.44054054054054054,1.0810810810810811,0.06895742781425114,118532808704
ACN,2024Q2,IT,Information Technology Services,False,0.1867816091954023,0.4464366610868481,0.3310344827586207,0.7885057471264367,0.058204425952604964,118532808704
